item,itemLabel,start,end,psid
Q108443479,Ibrahim Mantu,2003-06-03,2007-06-05,Q108443479-BEAD8636-D2C1-41B9-AC2F-1F350E2829A6
Q111148854,Owie Roland Stephen,2003-06-03,2007-06-05,Q111148854-AD843415-AE95-451C-8B34-ED9B6CE7367C
Q111153569,Maina Isa,2003-06-03,2007-06-05,Q111153569-6C28ABB1-9631-464A-9945-D8580BD2CAB9
Q13140373,Abubakar Maikafi,2003-06-03,2007-06-05,Q13140373-ADA16509-F153-4294-A359-58F63DC3BE5C
Q13140606,Bello M. Yusuf,2003-06-03,2007-06-05,Q13140606-1CFEA981-3F0B-4AA4-83D4-BC9333A6EAB4
Q13140609,Bode Olowoporoku,2003-06-03,2007-06-05,Q13140609-EBE7D0DA-0845-4734-8B84-91767F9EFD5E
Q13140618,Christopher Nshi,2003-06-03,2007-06-05,Q13140618-90BC5657-4A34-452A-90DD-12788A6848A7
Q13140619,Clement Awoyelu,2003-06-03,2007-06-05,Q13140619-D969DAB0-1314-4B86-BE62-2AFDABD0935F
Q13140624,Daisy Danjuma,2003-06-03,2007-06-05,Q13140624-A8A72A0E-4737-4DD1-BFCA-FDA6D947AD1C
Q13140636,Emmanuel Anosike,2003-06-03,2007-06-05,Q13140636-2E853EC4-6302-4563-B1C9-23D0D1C1DFBB
Q13140637,Emmanuel Okpede,2003-06-03,2007-06-05,Q13140637-C0116750-1904-4017-BB37-FA9B37CC88E0
Q13140638,Emmanuel A. Azu,2003-06-03,2007-06-05,Q13140638-8C362F7A-01AE-44D7-B4C2-7E01E696369C
Q13140645,Faruk Bello,2003-06-03,2007-06-05,Q13140645-4D5CDFBE-10DD-49A7-9C5D-B619257A9AE1
Q13140669,Hosea Ehinlanwo,2003-06-03,2007-06-05,Q13140669-6BF16B12-7ED5-4D8F-93A0-2F239736EB83
Q13140681,Ibiapuye Martyns-Yellowe,2003-06-03,2007-06-05,Q13140681-FBFC544C-AA8E-4FAC-9C9C-15DE28C9AB78
Q13140686,Ikechukwu Abana,2003-06-03,2007-06-05,Q13140686-17619BC4-BFB4-48CC-B425-F864BC2C2E75
Q13140687,Ike Ekweremadu,2003-05,,Q13140687-9B6E19EB-FBDA-4A79-925C-35943E1448FD
Q13140695,Isah Maina,2003-06-03,2007-06-05,Q13140695-90888C48-7E8A-4ECB-9359-51CF9244B0EF
Q13140705,Iyiola Omisore,2003-06-03,2007-06-05,Q13140705-4B3A26FB-F1A8-446E-A4B3-22536E625C38
Q13140708,James Kolawole,2003-06-03,2007-06-05,Q13140708-0B9BBBB8-FBD7-4A01-B0CC-6CC09BA38095
Q13140714,John Danboyi,2003-06-03,2007-06-05,Q13140714-23904075-4D3D-470D-B972-3FE1071A43E3
Q13140744,Mohammed Abba Aji,2003-06-03,2007-06-05,Q13140744-1CEE563D-9E19-4FC0-BF6C-EC3B60FF4036
Q13140749,Mohammed Ohiare,2003-06-03,2007-06-05,Q13140749-94C2096B-2D0B-4CED-BE6F-7ECAD441F93F
Q13140760,Nimi Barigha-Amange,2007-05-29,2011-05-29,Q13140760-577CAD93-3055-4400-843C-9C6209E385FF
Q13140831,Robert Koleoso,2003-06-03,2007-06-05,Q13140831-C462CEF6-FF6F-4FD3-B5C4-726475C24930
Q13140837,Saleh U. Damboyi,2003-06-03,2007-06-05,Q13140837-61B91976-30FA-496E-8773-3D37ACE2C2AB
Q13140854,Sule Yari Gandi,2003-06-03,2007-06-05,Q13140854-683C0957-CABF-41F4-8666-33FCBDDC0B88
Q13140855,Suleiman Ajadi,2003-06-03,2007-06-05,Q13140855-AD80BAC7-59AF-4D34-A18B-2E6AFEACE023
Q13140867,Timothy Adudu,2003-06-03,2007-06-05,Q13140867-C9D279DF-8B75-4AF0-8639-F1095C1B34D5
Q13140868,Tokunbo Afikuyomi,1999-05,2007-05,Q13140868-D38EE8F7-4806-4411-914E-7A3524D80820
Q13140877,Umar Ibrahim Tsauri,2003-06-03,2007-06-05,Q13140877-86B7922A-8C2E-4A0B-B430-364BF66F50C5
Q13140882,Usman Kibiya Umar,2003-06-03,2007-06-05,Q13140882-1990CC3D-0142-4EF6-A1A4-42844D04E569
Q13140884,Usman Adamu,2003-06-03,2007-06-05,Q13140884-4E68D151-CC28-4FB0-9CB3-044CDF22E811
Q13140908,Zik Sunday Ambuno,2003-06-03,2007-06-05,Q13140908-4CA32E9F-20EE-40D3-8759-D4CCACC91EAF
Q13651307,Musiliu Obanikoro,2003-06-03,2007-06-05,Q13651307-906D5034-D487-4299-B9FF-EBA8591AD4D0
Q16886055,Baba Tela,2003-06-03,2007-06-05,Q16886055-10CCE0AB-4058-4D77-A9BF-402B242F98A4
Q20604089,Adamu Bala,2003-06-03,2007-06-05,Q20604089-E7B9A7EC-3BDC-4132-A01B-8BA5E0ACCB56
Q20604138,Amah Iwuagwu,2003-06-03,2007-06-05,Q20604138-2609E8BC-1BCA-447F-A670-A8F176B114AF
Q20604280,Chris Adighije,2003-06-03,2007-06-05,Q20604280-EF7C0E2D-3222-4AD0-AB38-1FFAF6B9F88C
Q20604383,Iyabo Anisulowo,2003-06-03,2007-06-05,Q20604383-2C865583-0FF3-4079-80A6-185093EA5E98
Q20604409,Joshua Adagba,2003-06-03,2007-06-05,Q20604409-90069660-50BF-4350-A09B-F871308BD6A4
Q20604439,Kola Ogunwale,2003-06-03,2007-06-05,Q20604439-F4DFFEFA-DC8A-49C7-92F8-70F91BC9212D
Q20604611,Sani Kamba,2003-06-03,2007-06-05,Q20604611-867A5DBC-3286-4A9B-886D-75B57F1767D2
Q20604644,Tokunbo Ogunbanjo,2003-06-03,2007-06-05,Q20604644-D0C6CD9B-B360-4B55-A508-0CCE61B8F570
Q20604659,Titus Olupitan,2003-06-03,2007-06-05,Q20604659-5B0E15F9-FF3F-4E78-A215-9E8C30736719
Q29221546,Haruna Garba,2003-06-03,2007-06-05,Q29221546-C1C33832-9493-4F3B-9900-86A8C450AED7
Q30069968,Usman Umar Kibiya,2003-06-03,2007-05,Q30069968-82AC1D26-68E4-4C78-9FB6-05BF43A8930C
Q3510270,Uche Chukwumerije,2003-06-03,2007-06-05,Q3510270-7FB2EF45-473B-464A-A851-1E3512AD2170
Q3511417,Iya Abubakar,1999-05,2007-05,Q3511417-E38AB505-7B4E-4070-9C39-1E33E5CED19C
Q378378,Victor Ndoma-Egba,2003-06-03,2007-06-05,Q378378-BD79BE13-09D6-43AF-B6CA-6DC9CB8A7F74
Q459205,David Mark,1999,2019,Q459205-78928A87-3E82-4352-8E11-A842A2FA18FC
Q4665788,Abdulazeez Ibrahim,1999-05,2007-05,Q4665788-DD877595-6405-474C-9DCA-204081C52E5C
Q4667894,Abiola Ajimobi,2003-06-03,2007-06-05,Q4667894-82732FE8-DBBD-4535-AF63-288F1574AF06
Q4670223,Abu Ibrahim,2003-06-03,2007-06-05,Q4670223-66923630-1162-427B-B3E9-FD0208C377D0
Q4670495,Abubakar Mohammed,2003-06-03,2007-06-05,Q4670495-10DB3FB5-4C7E-4C82-93EA-641E1D0643BC
Q4670503,Abubakar Sodangi,2003-06-03,2007-06-05,Q4670503-C14F2785-353E-407E-AB11-5F81087F08A7
Q4670503,Abubakar Sodangi,1999-05,2011-06,Q4670503-D6D29982-DF62-4A6B-BC50-386A197181C9
Q4681916,Adeleke Mamora,2003-06-03,2007-06-05,Q4681916-43E59C15-6853-44B1-A1E7-137A9092FAAA
Q4684485,Adolphus Wabara,1999-05,2007-05,Q4684485-FB583F0F-DA40-4EAD-AC71-A3573549F8ED
Q4695931,Ahmed Mohammed Inuwa,2003-06-03,2007-06-05,Q4695931-8BD7C453-EB27-41CD-8A18-24E2DBA07395
Q4701060,Akinlabi Olasunkanmi,2003-06-03,2007-06-05,Q4701060-BF8A9269-2E5D-45C5-89CC-39B855FDF751
Q4799853,Arthur Nzeribe,2003-06-03,2007-06-05,Q4799853-51019992-D439-4840-9431-3594B2A2ECF4
Q4840567,Badamasi Maccido,2003-06-03,2007-06-05,Q4840567-9CF1708B-0186-43D6-96D2-03E6B5FD272D
Q4849691,Bala Mohammed,2007-04-08,2010-04-08,Q4849691-0789E670-3EA0-4F55-831C-08B7941C3B66
Q4868127,Bassey Ewa-Henshaw,2003-06-03,2007-06-05,Q4868127-5B828D4A-CB51-4E9A-8EE7-FECEEBC30300
Q4884084,Bello Hayatu Gwarzo,1999-05-29,2007-05-29,Q4884084-48FC1100-EA92-4EC6-8C85-C32DA006C06E
Q5210857,Dalhatu Tafida,1999-05-29,2007-05-29,Q5210857-968FC467-CF03-4714-8F1F-0D88B59657EB
Q5218701,Daniel Saror,1999-05,2007-05,Q5218701-0285AB87-6D59-498F-90E0-00CC7428A78E
Q5231744,David Brigidi,1999-05,2007-05,Q5231744-A10F7417-CD86-4005-A74E-352478CFA5CB
Q5347498,Effiong Dickson Bob,2003-06-03,2007-06-05,Q5347498-A270F7F2-4C5D-444E-B3D7-5B3227211196
Q5373326,Emmanuel Paulker,2007-05-29,2019,Q5373326-B71ED049-FEAB-40F0-B4FF-9A9B2D5FB44D
Q5442241,Felix Ibru,2003-06-03,2007-06-05,Q5442241-C743BEFB-80B9-405A-9F7A-7E1B6C84E168
Q5446766,Fidelis Okoro,1999-05-29,2007-05-29,Q5446766-373A1EB4-77EF-456C-A275-59DBDA8D8E46
Q5529326,Gbemisola Ruqayyah Saraki,2003-06-03,2007-06-05,Q5529326-362832CA-E3D4-4C57-94CD-A666038DF872
Q5529332,Gbenga Ogunniya,2003-06-03,2007-06-05,Q5529332-2A9B1A12-AF0A-424B-8E78-B7E8FE19A74B
Q5607086,Gregory Ngaji,2003-06-03,2007-06-05,Q5607086-EC0BC9F5-DB87-4107-9A5C-9D4A2BE73694
Q5984059,Ibikunle Amosun,2003-06-03,2007-06-05,Q5984059-B4CC1157-3EA4-42DB-AEDB-EBDE14BDC4AF
Q5984638,Ibrahim Kuta,1999-05-29,2007-05-29,Q5984638-25A18871-E596-42E1-AA00-F6C6E03124FD
Q5984682,Ibrahim Muhammed Kirikasama,1999-05-29,2007-05-29,Q5984682-21E58D95-1DD8-4C97-B807-CF86F74F1BBB
Q5991127,Ifeanyi Ararume,2003-06-03,2007-06-05,Q5991127-D480B5B4-82A8-4AB5-B429-AD7F8F180B7B
Q6075725,Isa Mohammed,1999-05-29,2007-05-29,Q6075725-C9DCB61D-715D-4F0A-8EF0-37EE9860A0DB
Q6078472,Isaiah Balat,2003-06-03,2007-06-05,Q6078472-5B77605D-9311-4E15-A0CA-B27E757781B1
Q6080812,Isiaka Adetunji Adeleke,2007-05,2011-05,Q6080812-2D5271DC-7E2B-4D32-8D4F-656CE3ADACBC
Q6138857,James Manager,2003-06-03,2007-06-05,Q6138857-60AA74AB-8415-4344-8379-2B08E3B0AA07
Q6219847,John Azuta-Mbata,2003-06-03,2007-06-05,Q6219847-EE9C91CB-B8E8-45DB-81F8-E8C1CBC548BF
Q6274897,Jonathan Zwingina,1999-05,2007-05,Q6274897-3AF5D3E7-5489-40CB-B8A4-4B6B0AAEE76F
Q6301957,Jibril Aminu,2003-05-29,2011-05,Q6301957-190F64C3-62D2-4C80-9E29-8453A7C94F8F
Q6310120,Julius Ucha,2003-06-03,2007-06-05,Q6310120-3959C95A-5EBB-4C46-89A9-70F957DB12C7
Q6388239,Ken Nnamani,2003-06-03,2007-06-05,Q6388239-5190A2A1-9B25-47A4-B735-740774874DD3
Q6503559,Lawali Shuaibu,2003-06-03,2007-06-05,Q6503559-069F8B98-EBEF-49CE-8F5D-BADB78ED5A19
Q6514449,Lee Maeba,2003-06-03,2007-06-05,Q6514449-0323610F-C115-4D3B-80D3-F8C73EA46A02
Q6734487,Mahmud Kanti Bello,2003-06-03,2007-06-05,Q6734487-4EE4CC61-A45C-49C3-B171-FB3C1A7B5FA7
Q6736241,Maina Maaji Lawan,2007-05-29,2015,Q6736241-f5f120f3-41b0-3fd9-c5e9-54e65ab73efc
Q6737104,Maitama Bello Yusuf,1999-05-29,2015-05-29,Q6737104-71072951-8954-4938-9A82-788578B4D8B7
Q6745774,Mamman Bello Ali,2003-06-03,2007-06-05,Q6745774-381A4735-1132-47D4-9249-73CDD6274A60
Q6892988,Mohammed Aruwa,1999-05-29,2007-05-29,Q6892988-52C23943-0F04-4100-9914-F978759CCFF0
Q6893057,Mohammed Daggash,2003-06-03,2007-06-05,Q6893057-878D2124-9012-40BE-9DF3-C67ADE8051C1
Q6893199,Mohammed Mana,2007-05-29,2011-05,Q6893199-6F62E902-E8D7-4D71-B8A6-4B506E345EDA
Q6893322,Mohammed Sani Sami,2003-06-03,2007-06-05,Q6893322-D6A21C10-7F1A-465C-8445-65F37DC01E59
Q7068794,Nuhu Aliyu Labbo,1999-05,2011-05,Q7068794-6938AE10-EE3C-4969-BD08-17AC4656A429
Q7089709,Omar Hambagda,2003-06-03,2007-06-05,Q7089709-13ECE4A4-CFEB-43F0-9658-8E32ACA5810C
Q7106495,Oserheimen Osunbor,1999-05-29,2007-05-29,Q7106495-FF801C58-E11F-4593-9B38-FAAE9D6DE581
Q7147437,Patrick Osakwe,1999-05,2011-05,Q7147437-B85A81D3-F419-468F-A51E-014C8839C461
Q7399992,Saidu Dansadau,2003-06-03,2007-06-05,Q7399992-79844655-5AFB-41A8-ADDD-DF910624D4ED
Q7518155,Simon Ajibola,2003-06-03,2007-06-05,Q7518155-27FB3B80-BC42-4940-9C99-F44E4970B6F7
Q7689220,Tawar Umbi Wada,2003-06-03,2007-06-05,Q7689220-9ACEE273-E43D-4516-ABC2-6F36B4BAC87E
Q7705525,Teslim Folarin,2003-06-03,2007-06-05,Q7705525-59618A19-059D-41E0-81E0-A850826167D8
Q7852884,Tunde Ogbeha,1999-05,2007-05,Q7852884-3604D2D6-261D-48C3-9C24-97363B2353BB
Q7877282,Udoma Udo Udoma,2003-06-03,2007-06-05,Q7877282-603CD7FA-71EB-42C4-850C-A945EAFC2255
Q7881173,Umaru Dahiru,2003-06-03,2007-06-05,Q7881173-C2CCC69D-5FEF-4D47-B27F-7D1A1029809F
Q7902039,Usman Albishir,2003-06-03,2007-06-05,Q7902039-AEF41181-55E1-43A9-ABA9-5B68B8C47195
Q7926217,Victor Oyofo,1999-05-29,2007-05-29,Q7926217-C4D3F975-268E-443B-B5A2-46FA20C9FAF2
Q8061881,Yushau Anka,2003-06-03,2007-06-05,Q8061881-730999C7-FF51-411F-A4CA-38D0EBB369D0
